"x","y","frp_value","cofire_value","co2fire_value","pm2p5fire_value","time","country","province","amphoe"
102.350003470328,13.1499995538564,0.0261140558868647,2.66907518309267e-09,4.08848670474526e-08,2.30160709935312e-10,"2021-04-03","Thailand","Chanthaburi","Soydow"
102.050003460154,12.6499995708201,0.0473198592662811,4.64624472229502e-09,7.28884543832464e-08,4.04772410034226e-10,"2021-09-18","Thailand","Chanthaburi","Tha Mai"
99.2500033651896,19.6499993333292,0.0336584486067295,3.20456550184645e-09,5.19750003036279e-08,2.93608387602617e-10,"2021-05-04","Thailand","Chiang Mai","Chai Prakarn"
98.7500033482317,19.7499993299364,0.0348187424242496,3.26220295221447e-09,5.29098258539307e-08,2.94094248953769e-10,"2021-04-01","Thailand","Chiang Mai","Chiang Dao"
98.6500033448401,18.3499993774346,0.0380486808717251,2.00285343865403e-09,4.87265623405619e-08,1.55439730531448e-10,"2021-05-02","Thailand","Chiang Mai","Chom Thong"
99.150003361798,18.9499993570783,0.0183765590190887,8.89691709193841e-10,1.44299523441305e-08,1.15080354967656e-10,"2021-04-02","Thailand","Chiang Mai","Doi Saket"
98.5500033414485,17.8499993943983,0.0457207076251507,4.41560521480255e-09,7.11744263526271e-08,3.96573163197189e-10,"2021-03-07","Thailand","Chiang Mai","Doi Tao"
99.3500033685812,19.7499993299364,0.0336584486067295,3.20456550184645e-09,5.19750003036279e-08,2.93608387602617e-10,"2021-05-03","Thailand","Chiang Mai","Fang"
98.8500033516233,18.849999360471,0.0348187424242496,3.26220295221447e-09,5.53148176152263e-08,3.06880937328557e-10,"2021-04-01","Thailand","Chiang Mai","Hang Dong"
98.3500033346654,18.0499993876128,0.038687489926815,3.85533072133626e-09,6.01248046905312e-08,3.32454369589286e-10,"2021-04-16","Thailand","Chiang Mai","Hot"
98.7500033482317,18.4499993740419,0.0190243404358625,8.01141375461611e-10,2.2739062188748e-08,6.90843285355847e-11,"2021-05-16","Thailand","Chiang Mai","K. Doi Lo"
